UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 10:01 ?        00:00:02 /sbin/init splash
root           2       0  0 10:01 ?        00:00:00 [kthreadd]
root           3       2  0 10:01 ?        00:00:00 [rcu_gp]
root           4       2  0 10:01 ?        00:00:00 [rcu_par_gp]
root           5       2  0 10:01 ?        00:00:00 [slub_flushwq]
root           6       2  0 10:01 ?        00:00:00 [netns]
root           8       2  0 10:01 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 10:01 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 10:01 ?        00:00:00 [rcu_tasks_rude_kthread]
root          12       2  0 10:01 ?        00:00:00 [rcu_tasks_trace_kthread]
root          13       2  0 10:01 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 10:01 ?        00:00:05 [rcu_sched]
root          15       2  0 10:01 ?        00:00:00 [migration/0]
root          17       2  0 10:01 ?        00:00:00 [cpuhp/0]
root          18       2  0 10:01 ?        00:00:00 [cpuhp/1]
root          19       2  0 10:01 ?        00:00:00 [migration/1]
root          20       2  0 10:01 ?        00:00:00 [ksoftirqd/1]
root          22       2  0 10:01 ?        00:00:00 [kworker/1:0H-events_highpri]
root          23       2  0 10:01 ?        00:00:00 [cpuhp/2]
root          24       2  0 10:01 ?        00:00:00 [migration/2]
root          25       2  0 10:01 ?        00:00:00 [ksoftirqd/2]
root          27       2  0 10:01 ?        00:00:00 [kworker/2:0H-events_highpri]
root          28       2  0 10:01 ?        00:00:00 [cpuhp/3]
root          29       2  0 10:01 ?        00:00:00 [migration/3]
root          30       2  0 10:01 ?        00:00:00 [ksoftirqd/3]
root          32       2  0 10:01 ?        00:00:00 [kworker/3:0H-events_highpri]
root          33       2  0 10:01 ?        00:00:00 [kdevtmpfs]
root          34       2  0 10:01 ?        00:00:00 [inet_frag_wq]
root          35       2  0 10:01 ?        00:00:00 [kauditd]
root          36       2  0 10:01 ?        00:00:00 [khungtaskd]
root          38       2  0 10:01 ?        00:00:00 [oom_reaper]
root          39       2  0 10:01 ?        00:00:00 [writeback]
root          41       2  0 10:01 ?        00:00:00 [kcompactd0]
root          42       2  0 10:01 ?        00:00:00 [ksmd]
root          44       2  0 10:01 ?        00:00:00 [khugepaged]
root          45       2  0 10:01 ?        00:00:00 [kintegrityd]
root          46       2  0 10:01 ?        00:00:00 [kblockd]
root          47       2  0 10:01 ?        00:00:00 [blkcg_punt_bio]
root          48       2  0 10:01 ?        00:00:00 [tpm_dev_wq]
root          49       2  0 10:01 ?        00:00:00 [ata_sff]
root          50       2  0 10:01 ?        00:00:00 [md]
root          51       2  0 10:01 ?        00:00:00 [edac-poller]
root          52       2  0 10:01 ?        00:00:00 [hv_vmbus_con]
root          53       2  0 10:01 ?        00:00:00 [hv_vmbus_rescin]
root          54       2  0 10:01 ?        00:00:00 [hv_pri_chan]
root          55       2  0 10:01 ?        00:00:00 [hv_sub_chan]
root          56       2  0 10:01 ?        00:00:00 [devfreq_wq]
root          59       2  0 10:01 ?        00:00:00 [watchdogd]
root          60       2  0 10:01 ?        00:00:00 [kworker/3:1-events]
root          61       2  0 10:01 ?        00:00:00 [kworker/3:1H-kblockd]
root          62       2  0 10:01 ?        00:00:00 [kswapd0]
root          63       2  0 10:01 ?        00:00:00 [ecryptfs-kthread]
root          64       2  0 10:01 ?        00:00:00 [kthrotld]
root          65       2  0 10:01 ?        00:00:00 [nfit]
root          66       2  0 10:01 ?        00:00:00 [scsi_eh_0]
root          67       2  0 10:01 ?        00:00:00 [nvme-wq]
root          68       2  0 10:01 ?        00:00:00 [scsi_tmf_0]
root          69       2  0 10:01 ?        00:00:00 [nvme-reset-wq]
root          70       2  0 10:01 ?        00:00:00 [nvme-delete-wq]
root          71       2  0 10:01 ?        00:00:00 [nvme-auth-wq]
root          78       2  0 10:01 ?        00:00:00 [hv_balloon]
